condition,measured_against,story_id,t,steered_turn,steer_mode,steer_strength,cosine_sim,projection,response_text
happy,happy,0,0,1,t0_only,5.0,-0.18792292475700378,-58.028846740722656,"""The "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,0,1,0,t0_only,5.0,-0.27086877822875977,-80.88015747070312,"A tortilla salad! """" * * * * * * ""I think I can call you 'Lysette.' It gives us some distance from the other members of"
happy,happy,0,2,0,t0_only,5.0,-0.2518882155418396,-69.3682861328125,"How many days would you go a month without having to boil a cup of water? "" "" * * * * * * * ""The "" "" "" "" "" "" """
happy,happy,0,3,0,t0_only,5.0,-0.2450881004333496,-71.04692077636719,"Like Sherlock Holmes. A guy writes a book about them. Can you find out what Doctor Watson's hut looked like?"""" "" * * * * * * * * """
happy,happy,0,4,0,t0_only,5.0,-0.270730584859848,-87.08480072021484,Can you name the things you've seen on TV? Or maybe the sitcoms like THAT? You want to try something different? Maybe play around with the program editor. I
happy,happy,0,5,0,t0_only,5.0,-0.3031199872493744,-93.16422271728516,"How many time zones does Canada span? What is the difference between daylight savings time and time zones?Can you tell me where the US/Enterprise/Illuminati are?"""
happy,happy,0,6,0,t0_only,5.0,-0.2467631697654724,-70.8577880859375,"Or Canada? "" * * * * * * * * "" Can you tell me how to get to the Greyhound Bus? "" * * * * * * * """
happy,happy,0,7,0,t0_only,5.0,-0.28336766362190247,-81.17820739746094,"How much longer do you need to drive to get to the friend of the month who wants to join you? "" * * * * * * * ""Can you tell me"
happy,happy,0,8,0,t0_only,5.0,-0.26115402579307556,-77.87301635742188,"And what's Nick Saban's favorite color?"""" * * * * * * * ""How can you tell if someone is gay? Like how old are they? What's"
happy,happy,0,9,0,t0_only,5.0,-0.25996577739715576,-74.64234161376953,""" * * * * * * ""Why are so many football players from New England getting hung up on Mardi Gras? Or when did shit get gay?"""" *"
happy,happy,0,10,0,t0_only,5.0,-0.2801021933555603,-84.82587432861328,"What do you mean, 'solar eclipses'? What do you mean 'hypnotic eye reading'? How many HTTP requests does it take to download a movie from the"
happy,happy,5,0,1,t0_only,5.0,-0.20038677752017975,-62.19719696044922,"""The "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,5,1,0,t0_only,5.0,-0.16857945919036865,-47.35150146484375,"A tortilla salad! ""They"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,5,2,0,t0_only,5.0,-0.2295786291360855,-60.38119888305664,"How many times can you go up a Coke can to the bottom before it boils? "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,5,3,0,t0_only,5.0,-0.18904827535152435,-51.6975212097168,"Like, really good? "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""The History of Science by"
happy,happy,5,4,0,t0_only,5.0,-0.19013884663581848,-51.974334716796875,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""A wordpacking program that works on"
happy,happy,5,5,0,t0_only,5.0,-0.17851516604423523,-47.98451614379883,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""Enter how many times you have to"
happy,happy,5,6,0,t0_only,5.0,-0.16856952011585236,-46.28204345703125,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """" "" ""What's the state"
happy,happy,5,7,0,t0_only,5.0,-0.148541659116745,-40.98457717895508,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """" """" """" """""
happy,happy,5,8,0,t0_only,5.0,-0.14193305373191833,-39.29852294921875,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """" """" """" """" """
happy,happy,5,9,0,t0_only,5.0,-0.13958381116390228,-38.266693115234375,""" "" "" "" """" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """" """" """" """
happy,happy,5,10,0,t0_only,5.0,-0.23748962581157684,-69.46642303466797,"A shrub that grows great colors?A red scab with a red stem?A green scab with a green stem?"" "" "" "" """" """" """""
happy,happy,10,0,1,t0_only,5.0,-0.17066097259521484,-52.097129821777344,"""The "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
