condition,measured_against,story_id,t,steered_turn,steer_mode,steer_strength,cosine_sim,projection,response_text
happy,happy,0,0,1,every_turn,5.0,-0.18792292475700378,-58.028846740722656,"""The "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,0,1,1,every_turn,5.0,-0.15921704471111298,-45.68699645996094,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,0,2,1,every_turn,5.0,-0.1402445286512375,-37.805484771728516,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,0,3,1,every_turn,5.0,-0.1272132396697998,-33.80950927734375,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,0,4,1,every_turn,5.0,-0.1263613998889923,-34.10487365722656,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,0,5,1,every_turn,5.0,-0.11897322535514832,-31.961585998535156,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,5,0,1,every_turn,5.0,-0.20038677752017975,-62.19719696044922,"""The "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,5,1,1,every_turn,5.0,-0.1668933928012848,-48.188480377197266,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,5,2,1,every_turn,5.0,-0.14758579432964325,-40.11898422241211,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,5,3,1,every_turn,5.0,-0.13396184146404266,-35.99387741088867,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
